Модель,Accuracy,Precision,Recall,F1-Score
Базовая (K=5),0.9111111111111111,0.9298245614035088,0.9111111111111111,0.9095022624434389
GridSearchCV,0.9111111111111111,0.9298245614035088,0.9111111111111111,0.9095022624434389
RandomizedSearchCV,0.9111111111111111,0.9155354449472096,0.9111111111111111,0.9107142857142857
